Soy,Tengo,México,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Guadalajara,3 - 5,2 - 3,It technical support,,,,,,,,,Full-Time,8300,Bruto,3,2,No,No recibo bono,Uno,3.5,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,México DF,10+,1 - 2,SysAdmin / DevOps,Windows,,,,,No,0,Neto,Full-Time,10500,Neto,2,2,No,No recibo bono,Uno,5,51-100,Sí,Desafíos profesionales,Capacitaciones y/o cursos
Hombre,21 - 23,México DF,1 - 2,1 - 2,QA / Tester,,,Mix,Selenium;Codeception,,,,,Part-Time,8000,Neto,4,4,Menos de un sueldo,Mix de las anteriores,Uno,50,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes
Hombre,24 - 26,Monterrey,5 - 7,2 - 3,Developer,,CSS;HTML;Java;jQuery,,,,No,0,Bruto,Full-Time,25000,Bruto,4,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,27 - 30,Mérida,8 - 10,2 - 3,HelpDesk,,,,,,No,0,Bruto,Full-Time,6200,Neto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Aguascalientes,3 - 5,Menos de un año,HelpDesk,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Remoto (empresa de otro país),23000,Neto,3,4,No,No recibo bono,No,0,1-10,Sí,Salario,Laptop;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Guadalajara,8 - 10,4 - 5,Networking,,,,,,No,0,Porcentaje de mi sueldo,Freelance,10000,Bruto,2,2,No,No recibo bono,Uno,5,1-10,No,No cambié de empresa,Comidas pagas/subvencionadas;Horarios flexibles;Viajes al exterior;Viáticos
Hombre,34 - 36,Villahermosa,10+,5 - 6,Networking,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,20000,Bruto,3,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Guadalajara,3 - 5,1 - 2,SysAdmin / DevOps,AIX;Linux;Windows,,,,,"Sí, pasiva",0,Bruto,Full-Time,11000,Neto,3,5,Un sueldo,Performance de la compañía,Uno,8,1001+,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,24 - 26,Monterrey,1 - 2,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Bruto,4,5,Un sueldo,Mix de las anteriores,No,0,1001+,Sí,Salario,"Cuota para universidad;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)"
Hombre,24 - 26,Monterrey,1 - 2,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Bruto,4,5,Un sueldo,Mix de las anteriores,No,0,1001+,Sí,Salario,"Cuota para universidad;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)"
Hombre,24 - 26,Veracruz,1 - 2,1 - 2,SysAdmin / DevOps,*BSD;Windows;mssql server,,,,,No,0,Bruto,Full-Time,8000,Neto,2,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas;Laptop;Sueldo divido en dos pagos por mes;Viáticos
Hombre,31 - 33,México DF,5 - 7,5 - 6,Developer,,Java,,,,No,0,Bruto,Full-Time,38500,Bruto,4,5,Menos de un sueldo,Mix de las anteriores,No,0,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Stock options;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos;WFH (Trabajar desde casa)"
Hombre,24 - 26,Monterrey,3 - 5,Menos de un año,Developer,,CSS;HTML;Javascript;jQuery;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Bruto,3,4,No,No recibo bono,No,0,1-10,Sí,Mejores beneficios,"Horarios flexibles;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Mujer,27 - 30,Monterrey,1 - 2,1 - 2,QA / Tester,,,Funcional,OpenQA;Testlink,,,,,Full-Time,4000,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,21 - 23,México DF,Menos de un año,Menos de un año,QA / Tester,,,Mix,Test Complete;ALM,,,,,Part-Time,7920,Neto,4,3,No,No recibo bono,No,0,1-10,Sí,Mejores beneficios,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,Menos de 18 años,Veracruz,Menos de un año,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Freelance,1500,Bruto,4,4,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Snacks, golosinas, bebidas, etc"
Hombre,46 - 49,Puebla de Zaragoza,10+,10+,HelpDesk,,,,,,"Sí, activa",250,Bruto,Full-Time,3900,Bruto,1,1,Menos de un sueldo,Performance individual,No,0,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,San Luis Potosí,Menos de un año,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,8000,Bruto,3,4,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Capacitaciones y/o cursos
Mujer,24 - 26,Guadalajara,1 - 2,Menos de un año,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,13500,Neto,3,3,Un sueldo,Mix de las anteriores,No,0,1001+,Sí,Mejores beneficios,"Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Stock options"
Hombre,34 - 36,México DF,10+,3 - 4,Developer,,ActionScript;C#;Java;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Neto,3,3,No,No recibo bono,Uno,5,1-10,No,No cambié de empresa,Capacitaciones y/o cursos;Sueldo divido en dos pagos por mes
Hombre,24 - 26,Querétaro,3 - 5,1 - 2,Dept manager,,,,,,,,,Full-Time,17000,Bruto,4,3,Menos de un sueldo,Mix de las anteriores,No,0,11-50,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos"
Hombre,21 - 23,Mérida,3 - 5,1 - 2,SysAdmin / DevOps,*BSD;Linux;Windows;AWS / Rackspace;Azure,,,,,"Sí, activa",0,Neto,Full-Time,6000,Neto,4,3,No,No recibo bono,Más de dos,5,11-50,No,No cambié de empresa,"Horarios flexibles;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes"
Hombre,24 - 26,México DF,Menos de un año,Menos de un año,Developer,,.NET;VB *;SQL Server ,,,,"Sí, pasiva",0,Neto,Freelance,12000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Guadalajara,8 - 10,Menos de un año,PM,,,,,,,,,Full-Time,28000,Bruto,4,5,3+ sueldos,Mix de las anteriores,Uno,4,101-200,Sí,Desafíos profesionales,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,21 - 23,Puebla de Zaragoza,1 - 2,1 - 2,Storage / Backup,,,,,,No,400,Neto,Full-Time,1600,Bruto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Aguascalientes,5 - 7,4 - 5,DBA,,,,,MSSQL;MySQL/MariaDB;Oracle,No,0,Neto,Full-Time,18720,Bruto,4,3,Menos de un sueldo,No recibo bono,Uno,3.4,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,México DF,3 - 5,1 - 2,Networking,,,,,,"Sí, pasiva",25000,Neto,Part-Time,23000,Bruto,3,3,Menos de un sueldo,Performance individual,No,0,101-200,No,No cambié de empresa,Bonos por desempeño;Comidas pagas/subvencionadas;Laptop;Stock options;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Veracruz,5 - 7,4 - 5,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,31000,Bruto,5,5,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Laptop;Sueldo divido en dos pagos por mes;Viajes al exterior
Hombre,24 - 26,Tijuana,5 - 7,1 - 2,HelpDesk,,,,,,"Sí, pasiva",500,Neto,Part-Time,7500,Neto,4,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;Viáticos;WFH (Trabajar desde casa)
Hombre,31 - 33,Monterrey,5 - 7,5 - 6,Developer,,HTML;Javascript;jQuery;PHP,,,,No,0,Neto,Full-Time,38000,Neto,4,3,Menos de un sueldo,Performance individual,No,0,201-500,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;Laptop;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)
Mujer,21 - 23,Monterrey,3 - 5,1 - 2,Developer,,"Oracle, delphi ",,,,"Sí, activa",0,Bruto,Full-Time,11500,Bruto,2,2,No,No recibo bono,Uno,2,101-200,No,No cambié de empresa,Comidas pagas/subvencionadas;Descuentos en gimnasios;Horarios flexibles;Sueldo divido en dos pagos por mes
Hombre,24 - 26,Hermosillo,3 - 5,Menos de un año,Developer,,CSS;HTML;Javascript;jQuery;NodeJS,,,,No,0,Bruto,Remoto (empresa de otro país),11500,Bruto,5,5,No,No recibo bono,No,0,1-10,Sí,Mayor comodidad,Horarios flexibles;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,27 - 30,México DF,8 - 10,2 - 3,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery,,,,No,0,Neto,Full-Time,35500,Neto,5,4,No,No recibo bono,Uno,7.8,51-100,No,No cambié de empresa,Capacitaciones y/o cursos;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes
Hombre,31 - 33,León,10+,1 - 2,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,Full-Time,8000,Neto,3,2,3+ sueldos,Performance individual,Uno,2,11-50,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Sueldo divido en dos pagos por mes
Hombre,21 - 23,Cancún,1 - 2,1 - 2,Developer,,.NET;C#;CSS;HTML;Javascript;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,10000,Bruto,2,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,27 - 30,Guadalajara,5 - 7,1 - 2,DBA,,,,,MSSQL;Visual studio,No,0,Neto,Full-Time,2450,Bruto,3,3,Menos de un sueldo,Performance individual,Uno,4,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior
Hombre,27 - 30,México DF,3 - 5,1 - 2,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;VB *,,,,No,18500,Neto,Part-Time,18500,Neto,3,3,No,No recibo bono,No,0,11-50,Sí,Salario,Ninguna de las anteriores
Hombre,34 - 36,Monterrey,10+,2 - 3,Field service,,,,,,,,,Full-Time,11000,Bruto,3,2,Menos de un sueldo,Asistencia,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,31 - 33,Monterrey,8 - 10,1 - 2,Sales,,,,,,,,,Full-Time,60000,Bruto,4,4,3+ sueldos,Performance individual,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos;WFH (Trabajar desde casa)
