Soy,Tengo,Uruguay,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,31 - 33,Montevideo,8 - 10,1 - 2,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",4000,Bruto,Full-Time,54000,Bruto,3,4,Menos de un sueldo,Es beneficio de la empresa,Dos,8,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles
Hombre,31 - 33,Montevideo,8 - 10,2 - 3,HelpDesk,,,,,,"Sí, pasiva",2900,Neto,Full-Time,30000,Neto,3,2,No,No recibo bono,Uno,5,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Montevideo,10+,4 - 5,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Neto,2,4,No,No recibo bono,Uno,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,46 - 49,Montevideo,10+,10+,Networking,,,,,,"Sí, activa",8,Porcentaje de mi sueldo,Full-Time,52000,Neto,2,3,De uno a tres sueldos,Mix de las anteriores,Uno,5,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Guardería;Viáticos"
Mujer,24 - 26,Montevideo,3 - 5,1 - 2,QA / Tester,,,Funcional,Ninguna de estas,,,,,Full-Time,30000,Neto,2,2,No,No recibo bono,Uno,9,201-500,No,No cambié de empresa,Horarios flexibles
Hombre,27 - 30,Montevideo,5 - 7,5 - 6,SysAdmin / DevOps,HP-UX;Linux;Windows;VMWare,,,,,"Sí, pasiva",230,Bruto,Full-Time,31000,Bruto,3,4,Menos de un sueldo,Performance individual,No,0,51-100,No,No cambié de empresa,Bonos por desempeño
Hombre,37 - 40,Montevideo,10+,5 - 6,QA / Tester,,,Funcional,Selenium;Caja Negra ,,,,,Full-Time,44000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop
Hombre,27 - 30,Montevideo,8 - 10,1 - 2,Developer,,.NET;C++;C#;HTML;Java;Javascript;jQuery;NodeJS;Grails,,,,No,0,Neto,Full-Time,75000,Neto,4,3,No,No recibo bono,Uno,3,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Viajes al exterior;WFH (Trabajar desde casa)
Hombre,27 - 30,Montevideo,3 - 5,3 - 4,Developer,,ActionScript;CSS;HTML;Javascript;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,95000,Neto,4,5,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,"Capacitaciones y/o cursos;Clases de idiomas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles"
Hombre,24 - 26,Montevideo,3 - 5,2 - 3,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",200,Porcentaje de mi sueldo,Full-Time,21000,Bruto,3,3,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación
